regionName,regionPcode,townshipName,townshipPcode,userCount
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,မရမ်းကုန်း,MMR013042,316
မန္တလေးတိုင်းဒေသကြီး,MMR010,ချမ်းအေးသာစံ,MMR010002,274
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,လှိုင်,MMR013040,249
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ဗဟန်း,MMR013044,246
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,လှိုင်သာယာ,MMR013008,240
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,အင်းစိန်,MMR013001,228
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ကမာရွတ်,MMR013041,216
မန္တလေးတိုင်းဒေသကြီး,MMR010,မဟာအောင်မြေ,MMR010003,208
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,မင်္ဂလာဒုံ,MMR013002,206
ရှမ်းပြည်နယ် (တောင်),MMR014,တောင်ကြီး,MMR014001,204
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,မုံရွာ,MMR005012,204
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,သင်္ဃန်းကျွန်း,MMR013009,203
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,တာမွေ,MMR013015,197
မန္တလေးတိုင်းဒေသကြီး,MMR010,ချမ်းမြသာစည်,MMR010004,186
မန္တလေးတိုင်းဒေသကြီး,MMR010,အောင်မြေသာစံ,MMR010001,182
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ဒဂုံမြို့သစ်(မြောက်ပိုင်း),MMR013019,173
မွန်ပြည်နယ်,MMR011,မော်လမြိုင်,MMR011001,167
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,မြောက်ဥက္ကလာပ,MMR013012,161
တနင်္သာရီတိုင်းဒေသကြီး,MMR006,မြိတ်,MMR006005,161
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,စမ်းချောင်း,MMR013039,160
မန္တလေးတိုင်းဒေသကြီး,MMR010,ပြင်ဦးလွင်,MMR010008,155
ပဲခူးတိုင်းဒေသကြီး (အရှေ့),MMR007,ပဲခူး,MMR007001,151
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,မင်္ဂလာတောင်ညွန့်,MMR013022,144
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,တောင်ဥက္ကလာပ,MMR013011,142
နေပြည်တော်,MMR018,ဇမ္ဗူသီရိ,MMR018002,140
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,သာကေတ,MMR013013,136
မန္တလေးတိုင်းဒေသကြီး,MMR010,ပြည်ကြီးတံခွန်,MMR010005,125
ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,ပြည်,MMR008001,124
မန္တလေးတိုင်းဒေသကြီး,MMR010,မိတ္ထီလာ,MMR010028,120
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ရွှေပြည်သာ,MMR013007,120
နေပြည်တော်,MMR018,ဒက္ခိဏသီရိ,MMR018004,116
မကွေးတိုင်းဒေသကြီး,MMR009,မကွေး,MMR009001,115
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,ပုသိမ်,MMR017001,115
ရှမ်းပြည်နယ် (အရှေ့),MMR016,တာချီလိတ်,MMR016009,113
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,လမ်းမတော်,MMR013035,108
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ကျောက်တံတား,MMR013033,105
နေပြည်တော်,MMR018,ပျဉ်းမနား,MMR018006,104
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ဒဂုံမြို့သစ်(တောင်ပိုင်း),MMR013018,102
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ရန်ကင်း,MMR013010,99
ရှမ်းပြည်နယ် (မြောက်),MMR015,လားရှိုး,MMR015001,96
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,အလုံ,MMR013037,94
ကချင်ပြည်နယ်,MMR001,မြစ်ကြီးနား,MMR001001,90
မန္တလေးတိုင်းဒေသကြီး,MMR010,ပုသိမ်ကြီး,MMR010007,90
နေပြည်တော်,MMR018,ဥတ္တရသီရိ,MMR018008,88
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,ဟင်္သာတ,MMR017008,87
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,သန်လျင်,MMR013023,84
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ဗိုလ်တထောင်,MMR013017,84
မကွေးတိုင်းဒေသကြီး,MMR009,ပခုက္ကူ,MMR009018,83
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ဒဂုံ,MMR013043,83
မန္တလေးတိုင်းဒေသကြီး,MMR010,ကျောက်ဆည်,MMR010013,81
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,စစ်ကိုင်း,MMR005001,80
မန္တလေးတိုင်းဒေသကြီး,MMR010,အမရပူရ,MMR010006,80
ကရင်ပြည်နယ်,MMR003,ဘားအံ,MMR003001,79
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ပန်းဘဲတန်း,MMR013034,76
တနင်္သာရီတိုင်းဒေသကြီး,MMR006,ထားဝယ်,MMR006001,75
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ရွှေဘို,MMR005004,73
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ဒဂုံမြို့သစ်(ဆိပ်ကမ်း),MMR013021,73
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,လှည်းကူး,MMR013004,70
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ဒဂုံမြို့သစ်(အရှေ့ပိုင်း),MMR013020,69
ရခိုင်ပြည်နယ်,MMR012,စစ်တွေ,MMR012001,69
ပဲခူးတိုင်းဒေသကြီး (အရှေ့),MMR007,တောင်ငူ,MMR007009,69
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,မှော်ဘီ,MMR013003,65
မန္တလေးတိုင်းဒေသကြီး,MMR010,ညောင်ဦး,MMR010022,64
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,မအူပင်,MMR017019,61
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ပုဇွန်တောင်,MMR013016,58
ရှမ်းပြည်နယ် (တောင်),MMR014,ကလော,MMR014005,55
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ကြည့်မြင်တိုင်,MMR013038,55
နေပြည်တော်,MMR018,ဇေယျာသီရိ,MMR018001,53
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,လသာ,MMR013036,53
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ယင်းမာပင်,MMR005016,52
မွန်ပြည်နယ်,MMR011,ကျိုက်ထို,MMR011009,51
မန္တလေးတိုင်းဒေသကြီး,MMR010,မြင်းခြံ,MMR010017,51
ရှမ်းပြည်နယ် (မြောက်),MMR015,မူဆယ်,MMR015009,50
မန္တလေးတိုင်းဒေသကြီး,MMR010,မတ္တရာ,MMR010009,49
ရှမ်းပြည်နယ် (အရှေ့),MMR016,ကျိုင်းတုံ,MMR016001,48
မွန်ပြည်နယ်,MMR011,သထုံ,MMR011007,48
နေပြည်တော်,MMR018,တပ်ကုန်း,MMR018003,48
ကရင်ပြည်နယ်,MMR003,မြဝတီ,MMR003005,47
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ကန့်ဘလူ,MMR005007,46
ကယားပြည်နယ်,MMR002,လွိုင်ကော်,MMR002001,46
မကွေးတိုင်းဒေသကြီး,MMR009,မင်းဘူး,MMR009007,45
ရှမ်းပြည်နယ် (မြောက်),MMR015,ကျောက်မဲ,MMR015012,45
ပဲခူးတိုင်းဒေသကြီး (အရှေ့),MMR007,ဖြူး,MMR007012,43
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ကလေး,MMR005027,43
ကချင်ပြည်နယ်,MMR001,မိုးညှင်း,MMR001007,42
မွန်ပြည်နယ်,MMR011,ရေး,MMR011006,42
မန္တလေးတိုင်းဒေသကြီး,MMR010,မြစ်သား,MMR010015,40
ရှမ်းပြည်နယ် (တောင်),MMR014,နမ့်စန်,MMR014013,40
မန္တလေးတိုင်းဒေသကြီး,MMR010,ဝမ်းတွင်း,MMR010031,39
နေပြည်တော်,MMR018,ပုဗ္ဗသီရိ,MMR018005,39
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ဆားလင်းကြီး,MMR005018,39
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,မြောင်းမြ,MMR017014,39
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,တိုက်ကြီး,MMR013005,38
ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,နတ်တလင်း,MMR008012,38
မကွေးတိုင်းဒေသကြီး,MMR009,အောင်လံ,MMR009016,38
မွန်ပြည်နယ်,MMR011,မုဒုံ,MMR011005,37
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ဒေါပုံ,MMR013014,36
မကွေးတိုင်းဒေသကြီး,MMR009,မင်းလှ,MMR009013,36
ပဲခူးတိုင်းဒေသကြီး (အရှေ့),MMR007,ဒိုက်ဦး,MMR007007,36
မန္တလေးတိုင်းဒေသကြီး,MMR010,မိုးကုတ်,MMR010011,35
ရှမ်းပြည်နယ် (မြောက်),MMR015,နောင်ချို,MMR015013,35
ရှမ်းပြည်နယ် (တောင်),MMR014,ညောင်ရွှေ,MMR014002,35
မန္တလေးတိုင်းဒေသကြီး,MMR010,တံတားဦး,MMR010016,34
နေပြည်တော်,MMR018,လယ်ဝေး,MMR018007,34
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,ဝါးခယ်မ,MMR017017,33
မန္တလေးတိုင်းဒေသကြီး,MMR010,ကျောက်ပန်းတောင်း,MMR010020,33
ပဲခူးတိုင်းဒေသကြီး (အရှေ့),MMR007,ကျောက်တံခါး,MMR007006,33
ရှမ်းပြည်နယ် (တောင်),MMR014,ရပ်စောက်,MMR014008,33
ကချင်ပြည်နယ်,MMR001,ဗန်းမော်,MMR001010,33
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,ဖျာပုံ,MMR017023,32
မကွေးတိုင်းဒေသကြီး,MMR009,မြိုင်,MMR009020,32
မန္တလေးတိုင်းဒေသကြီး,MMR010,စဉ့်ကိုင်,MMR010014,32
မကွေးတိုင်းဒေသကြီး,MMR009,ရေစကြို,MMR009019,31
ပဲခူးတိုင်းဒေသကြီး (အရှေ့),MMR007,ညောင်လေးပင်,MMR007005,31
မကွေးတိုင်းဒေသကြီး,MMR009,စလင်း,MMR009010,31
ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,ပေါင်းတည်,MMR008004,31
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ကျောက်တန်း,MMR013024,30
မန္တလေးတိုင်းဒေသကြီး,MMR010,ရမည်းသင်း,MMR010023,30
ကချင်ပြည်နယ်,MMR001,မိုးကောင်း,MMR001008,30
တနင်္သာရီတိုင်းဒေသကြီး,MMR006,လောင်းလုံ,MMR006002,30
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ဒလ,MMR013030,30
မန္တလေးတိုင်းဒေသကြီး,MMR010,သာစည်,MMR010030,29
မွန်ပြည်နယ်,MMR011,ဘီးလင်း,MMR011010,29
ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,ကြို့ပင်ကောက်,MMR008014,29
တနင်္သာရီတိုင်းဒေသကြီး,MMR006,ကော့သောင်း,MMR006009,29
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ဝက်လက်,MMR005006,29
မကွေးတိုင်းဒေသကြီး,MMR009,ရေနံချောင်း,MMR009002,29
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,လပွတ္တာ,MMR017016,29
ပဲခူးတိုင်းဒေသကြီး (အရှေ့),MMR007,ရေတာရှည်,MMR007010,28
ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,လက်ပံတန်း,MMR008008,27
မန္တလေးတိုင်းဒေသကြီး,MMR010,စဥ့်ကူး,MMR010010,27
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,ရေကြည်,MMR017006,27
မကွေးတိုင်းဒေသကြီး,MMR009,ချောက်,MMR009003,27
ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,သဲကုန်း,MMR008005,27
ရခိုင်ပြည်နယ်,MMR012,ကျောက်ဖြူ,MMR012011,27
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,တွံတေး,MMR013027,26
ပဲခူးတိုင်းဒေသကြီး (အနောက်),MMR008,ပန်းတောင်း,MMR008003,26
မွန်ပြည်နယ်,MMR011,ပေါင်,MMR011008,26
မကွေးတိုင်းဒေသကြီး,MMR009,ပွင့်ဖြူ,MMR009008,25
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,တမူး,MMR005030,25
မကွေးတိုင်းဒေသကြီး,MMR009,တောင်တွင်းကြီး,MMR009004,24
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ခင်ဦး,MMR005005,24
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,မြန်အောင်,MMR017011,24
ရှမ်းပြည်နယ် (တောင်),MMR014,ပင်လောင်း,MMR014009,24
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ကောလင်း,MMR005024,24
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ပုလဲ,MMR005019,24
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,မော်လမြိုင်ကျွန်း,MMR017018,24
မွန်ပြည်နယ်,MMR011,သံဖြူဇရပ်,MMR011004,24
မန္တလေးတိုင်းဒေသကြီး,MMR010,ပျော်ဘွယ်,MMR010024,23
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,မြောင်,MMR005003,23
တနင်္သာရီတိုင်းဒေသကြီး,MMR006,တနင်္သာရီ,MMR006008,23
ရခိုင်ပြည်နယ်,MMR012,သံတွဲ,MMR012015,23
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ကသာ,MMR005020,22
စစ်ကိုင်းတိုင်းဒေသကြီး,MMR005,ထီးချိုင့်,MMR005022,22
ရခိုင်ပြည်နယ်,MMR012,မောင်တော,MMR012009,22
ရန်ကုန်တိုင်းဒေသကြီး,MMR013,ခရမ်း,MMR013026,21
ဧရာဝတီတိုင်းဒေသကြီး,MMR017,ကျုံပျော်,MMR017005,21
မွန်ပြည်နယ်,MMR011,ကျိုက်မရော,MMR011002,21
ပဲခူးတိုင်းဒေသကြီး (အရှေ့),MMR007,အုတ်တွင်း,MMR007013,21
ရှမ်းပြည်နယ် (မြောက်),MMR015,သီပေါ,MMR015014,21
ကရင်ပြည်နယ်,MMR003,ကော့ကရိတ်,MMR003006,20
